construct,sample,date,fitness,sci,gene,type,treat,rep,treat_numeric
H_0.75worst_rep1,63,2020-10-19,16.89,lu,H,worst,75%,1,0.75
H_0.75worst_rep2,64,2020-10-19,21.1,lu,H,worst,75%,2,0.75
H_0.75worst_rep3,65,2020-10-19,18.84,lu,H,worst,75%,3,0.75
H_1.0worst_rep1,66,2020-10-19,18.01,lu,H,worst,100%,1,1
wt Sanger 2xmut,1,2020-10-29,19.88,lu,wt,wt,0%,1,0
F_1.0worst_rep1,46,2020-10-29,6.47,lu,F,worst,100%,1,1
G_0.25worst_rep3,49,2020-10-29,18.48,lu,G,worst,25%,3,0.25
G_0.5worst_rep1,50,2020-10-29,19.58,lu,G,worst,50%,1,0.5
G_0.75worst_rep1,53,2020-10-29,11.56,lu,G,worst,75%,1,0.75
G_0.75worst_rep2,54,2020-10-29,6.19,lu,G,worst,75%,2,0.75
G_0.75worst_rep3,55,2020-10-29,12.81,lu,G,worst,75%,3,0.75
G_1.0worst_rep1,56,2020-10-29,17.79,lu,G,worst,100%,1,1
H_0.25worst_rep2,58,2020-10-29,19.67,lu,H,worst,25%,2,0.25
H_0.5worst_rep2,61,2020-10-29,19.9,lu,H,worst,50%,2,0.5
wt Sanger 2xmut,1,2020-10-30,19.59,lu,wt,wt,0%,1,0
G_0.75worst_rep1,53,2020-10-30,10.91,lu,G,worst,75%,1,0.75
G_0.75worst_rep2,54,2020-10-30,6.27,lu,G,worst,75%,2,0.75
G_0.75worst_rep3,55,2020-10-30,11.36,lu,G,worst,75%,3,0.75
G_1.0worst_rep1,56,2020-10-30,16.79,lu,G,worst,100%,1,1
H_0.25worst_rep2,58,2020-10-30,21.68,lu,H,worst,25%,2,0.25
H_0.5worst_rep2,61,2020-10-30,20.66,lu,H,worst,50%,2,0.5
wt Sanger 2xmut,1,2020-11-03,20.18,lu,wt,wt,0%,1,0
G_0.75worst_rep1,53,2020-11-03,11.57,lu,G,worst,75%,1,0.75
G_0.75worst_rep2,54,2020-11-03,6.77,lu,G,worst,75%,2,0.75
G_0.75worst_rep3,55,2020-11-03,12.03,lu,G,worst,75%,3,0.75
G_1.0worst_rep1,56,2020-11-03,17.83,lu,G,worst,100%,1,1
H_0.25worst_rep2,58,2020-11-03,21.64,lu,H,worst,25%,2,0.25
H_0.5worst_rep2,61,2020-11-03,19.5,lu,H,worst,50%,2,0.5
wt Sanger 2xmut,1,2020-11-13,20.57,lu,wt,wt,0%,1,0
H_0.5worst_rep1,60,2020-11-13,16.67,lu,H,worst,50%,1,0.5
H_0.5worst_rep3,62,2020-11-13,20.39,lu,H,worst,50%,3,0.5
wt Sanger 2xmut,1,2020-11-16,19.4,lu,wt,wt,0%,1,0
H_0.5worst_rep1,60,2020-11-16,16.2,lu,H,worst,50%,1,0.5
H_0.5worst_rep3,62,2020-11-16,19.61,lu,H,worst,50%,3,0.5
wt Sanger 2xmut,1,2020-11-17,19.86,lu,wt,wt,0%,1,0
H_0.5worst_rep3,62,2020-11-17,18.97,lu,H,worst,50%,3,0.5
wt Sanger 2xmut,1,2020-11-18,21.62,lu,wt,wt,0%,1,0
H_0.5worst_rep1,60,2020-11-18,15.72,lu,H,worst,50%,1,0.5
wt Sanger 2xmut,1,2020-11-19,19.78,lu,wt,wt,0%,1,0
wt Sanger 2xmut,1,2020-11-20,19.56,lu,wt,wt,0%,1,0
wt Sanger 2xmut,1,2020-12-01,19.75,lu,wt,wt,0%,1,0
wt Sanger 2xmut,1,2020-12-03,19.39,lu,wt,wt,0%,1,0
wt Sanger 2xmut,1,2020-12-04,18.58,lu,wt,wt,0%,1,0
wt Sanger 2xmut,1,2021-01-08,18.32,lu,wt,wt,0%,1,0
stab_G_Lo4,16,2021-01-08,10.41,lu,G,shuffle_Lo,50%,4,0.5
wt Sanger 2xmut,1,2021-01-11,18.85,lu,wt,wt,0%,1,0
stab_G_Lo4,16,2021-01-11,12.01,lu,G,shuffle_Lo,50%,4,0.5
wt Sanger 2xmut,1,2021-01-12,18.01,lu,wt,wt,0%,1,0
stab_G_Lo4,16,2021-01-12,10.06,lu,G,shuffle_Lo,50%,4,0.5
wt Sanger 2xmut,1,2021-02-01,18.81,lu,wt,wt,0%,1,0
H_0.25worst_rep1,57,2021-02-01,12.84,lu,H,worst,25%,1,0.25
wt Sanger 2xmut,1,2021-02-02,19.29,lu,wt,wt,0%,1,0
H_0.25worst_rep1,57,2021-02-02,12.17,lu,H,worst,25%,1,0.25
wt Sanger 2xmut,1,2021-02-04,18.83,lu,wt,wt,0%,1,0
H_0.25worst_rep1,57,2021-02-04,13.19,lu,H,worst,25%,1,0.25
H_random_75%_rep2,1,NA,0,lu,H,random,75%,rep2,0.75
G_shuffle_50%_rep1,1,NA,0,lu,G,shuffle,50%,rep1,0.5
G_shuffle_75%_rep3,1,NA,0,lu,G,shuffle,75%,rep3,0.75
G_shuffle_100%_rep3,1,NA,0,lu,G,shuffle,100%,rep3,1
G_shuffle-Lo_50%_rep1,1,NA,0,lu,G,shuffle_Lo,50%,rep1,0.5
H_random_50%_rep3,1,NA,0,lu,H,random,50%,rep3,0.5
H_random_100%_rep2,1,NA,0,lu,H,random,100%,rep2,1
H_random_1.25%_rep3,1,NA,0,lu,H,random,1.25%,rep3,1.25
H_shuffle_50%_rep2,1,NA,0,lu,H,shuffle,50%,rep2,0.5
H_random_50%_rep1,1,NA,0,lu,H,random,50%,rep1,0.5
